engine,model,block_size,input_len,output_len,avg,p10,p25,p50,p75,p90,p99
python,Qwen/Qwen2.5-3B-Instruct,16,32,128,1.3015697872887055,1.30105905495584,1.3011806667782366,1.3015476651489735,1.3019171101041138,1.302199263125658,1.3024629721790553
python,Qwen/Qwen2.5-3B-Instruct,16,32,256,2.5909860843171675,2.590399668738246,2.5907221930101514,2.5909819956868887,2.5912735341116786,2.591529101878405,2.591771781239659
python,Qwen/Qwen2.5-3B-Instruct,16,32,512,5.1829431189845,5.182376545108855,5.182540463283658,5.182872927747667,5.183158699888736,5.183716710098087,5.184380155634135
python,Qwen/Qwen2.5-3B-Instruct,16,32,1024,10.443128346279263,10.44191409572959,10.442251299973577,10.442969303578138,10.443398050963879,10.444324594549835,10.44691207319498
python,Qwen/Qwen2.5-3B-Instruct,16,64,128,1.3172624945019682,1.3148161111399532,1.317433105316013,1.3186210431158543,1.3190482701174915,1.319242070056498,1.3195407733693718
python,Qwen/Qwen2.5-3B-Instruct,16,64,256,2.617147287167609,2.6135570663958787,2.6149562895298004,2.6191726941615343,2.6196342585608363,2.620004605315626,2.6201598226837812
python,Qwen/Qwen2.5-3B-Instruct,16,64,512,5.234148897541066,5.228305102139712,5.235842881724238,5.23687825538218,5.237315381877124,5.237692829966545,5.238416021559387
python,Qwen/Qwen2.5-3B-Instruct,16,64,1024,10.544322407866519,10.548178038932383,10.549660997465253,10.550440721213818,10.550862646196038,10.55160193927586,10.551825085598976
python,Qwen/Qwen2.5-3B-Instruct,16,128,128,1.3343603432178497,1.3326676543802023,1.3337513217702508,1.3344225641340017,1.33530736528337,1.3357393428683282,1.3369073081761598
python,Qwen/Qwen2.5-3B-Instruct,16,128,256,2.6380046653871734,2.6357556149363517,2.6377686341293156,2.638575628399849,2.638970191590488,2.639205180108547,2.63968325952068
python,Qwen/Qwen2.5-3B-Instruct,16,128,512,5.2609578164915245,5.257609882019461,5.260404604952782,5.26118384487927,5.262087608221918,5.26272491030395,5.263492887113244
python,Qwen/Qwen2.5-3B-Instruct,16,128,1024,10.590534036420285,10.587071328610183,10.58912622788921,10.590863322839141,10.592009648680687,10.593464212305843,10.594961210917681
python,Qwen/Qwen2.5-3B-Instruct,16,256,128,1.3701780942579111,1.3667340679094195,1.3673530374653637,1.3714593267068267,1.3720079632475972,1.3726468665525318,1.3735813785530626
